risk_evidence_id,risk_event_id,evidence_type,source_table,source_record_code,evidence_value
94,94,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1919,存在关键物料缺口
95,95,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1978,存在关键物料缺口
96,96,PURCHASE_LATE,production_orders,AUTO-1931,关联采购订单预计迟到
97,97,QUALITY_REWORK,production_orders,AUTO-1701,质量返工影响计划
98,98,PURCHASE_LATE,production_orders,AUTO-1810,关联采购订单预计迟到
99,99,PURCHASE_LATE,production_orders,AUTO-1849,关联采购订单预计迟到
100,100,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1923,存在关键物料缺口
101,101,PURCHASE_LATE,production_orders,AUTO-1806,关联采购订单预计迟到
102,102,PRODUCTION_DELAY,production_orders,AUTO-1939,生产进度低于计划
103,103,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1921,存在关键物料缺口
104,104,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1802,存在关键物料缺口
105,105,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1756,存在关键物料缺口
106,106,PURCHASE_LATE,production_orders,AUTO-1818,关联采购订单预计迟到
107,107,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1997,存在关键物料缺口
108,108,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1777,存在关键物料缺口
109,109,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1800,存在关键物料缺口
110,110,QUALITY_REWORK,production_orders,AUTO-1996,质量返工影响计划
111,111,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1866,存在关键物料缺口
112,112,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1936,存在关键物料缺口
113,113,PURCHASE_LATE,production_orders,AUTO-1832,关联采购订单预计迟到
114,114,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1968,存在关键物料缺口
115,115,PURCHASE_LATE,production_orders,AUTO-1947,关联采购订单预计迟到
116,116,PURCHASE_LATE,production_orders,AUTO-1879,关联采购订单预计迟到
117,117,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1875,存在关键物料缺口
118,118,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1995,存在关键物料缺口
119,119,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1721,存在关键物料缺口
120,120,PURCHASE_LATE,production_orders,AUTO-1691,关联采购订单预计迟到
121,121,MATERIAL_SHORTAGE,production_material_requirements,AUTO-1991,存在关键物料缺口
122,122,PURCHASE_LATE,production_orders,AUTO-1774,关联采购订单预计迟到
123,123,PURCHASE_LATE,production_orders,AUTO-1858,关联采购订单预计迟到
