material_id,company_id,material_code,material_name,material_category,unit,standard_price,safety_stock,critical_level,default_lead_time_days,is_active
46,1,物料-0046,机架封板,钣金件,件,583.75,44,一般,30,1
47,1,物料-0047,安全继电器,电气元件,件,286.84,61,重要,16,1
48,1,物料-0048,压力开关,气动液压,件,240.5,79,一般,19,1
49,1,物料-0049,弹簧垫圈,标准件,件,25.42,22,一般,26,1
50,1,物料-0050,接地铜排,铜材,kg,84.35,268.1744,关键,5,1
51,1,物料-0051,冷轧钢板,钢材,kg,5.28,20.6729,重要,33,1
52,1,物料-0052,铝合金圆棒,铝材,kg,19.38,31.7226,重要,26,1
53,1,物料-0053,传动轴,机加工件,件,495.49,43,重要,15,1
54,1,物料-0054,底部接油盘,钣金件,件,679.16,32,重要,32,1
55,1,物料-0055,小型断路器,电气元件,件,727.26,24,一般,34,1
56,1,物料-0056,真空发生器,气动液压,件,1209.8,54,重要,8,1
57,1,物料-0057,六角螺母,标准件,件,31.52,18,重要,9,1
58,1,物料-0058,铜母线,铜材,kg,103.87,406.2464,关键,30,1
59,1,物料-0059,镀锌钢板,钢材,kg,8.76,382.0078,关键,34,1
60,1,物料-0060,花纹铝板,铝材,kg,22.59,278.4499,重要,20,1
61,1,物料-0061,滚轮安装轴,机加工件,件,486.59,13,关键,23,1
62,1,物料-0062,安全门框,钣金件,件,249.31,76,一般,10,1
63,1,物料-0063,开关电源,电气元件,件,2758.88,41,重要,12,1
64,1,物料-0064,液压油缸,气动液压,件,250.95,22,关键,21,1
65,1,物料-0065,圆柱销,标准件,件,15.86,63,重要,26,1
66,1,物料-0066,紫铜棒,铜材,kg,102.77,110.851,重要,33,1
67,1,物料-0067,316L不锈钢板,钢材,kg,10.84,352.6857,关键,16,1
68,1,物料-0068,阳极氧化铝板,铝材,kg,24.26,477.8557,重要,35,1
69,1,物料-0069,机械手连接块,机加工件,件,222.5,20,一般,32,1
70,1,物料-0070,侧面检修板,钣金件,件,178.24,62,关键,15,1
71,1,物料-0071,触摸屏,电气元件,件,1601.99,75,重要,35,1
72,1,物料-0072,节流阀,气动液压,件,47.4,63,一般,34,1
73,1,物料-0073,滚珠丝杠,标准件,件,13.73,22,重要,24,1
74,1,物料-0074,铜编织带,铜材,kg,84.77,189.1811,关键,20,1
75,1,物料-0075,矩形钢管,钢材,kg,5.91,279.0504,一般,34,1
76,1,物料-0076,铝合金角件,铝材,kg,23.53,104.7,一般,29,1
77,1,物料-0077,升降平台底座,机加工件,件,699.57,51,关键,9,1
78,1,物料-0078,顶部盖板,钣金件,件,610.77,26,一般,17,1
79,1,物料-0079,变频器,电气元件,件,1352.48,64,关键,25,1
80,1,物料-0080,气源处理组件,气动液压,件,1282.9,28,重要,29,1
81,1,物料-0081,链轮,标准件,件,9.4,55,重要,24,1
82,1,物料-0082,异形铜排,铜材,kg,81.23,415.5907,重要,12,1
83,1,物料-0083,槽钢,钢材,kg,6.87,258.1282,重要,35,1
84,1,物料-0084,铝合金导轨,铝材,kg,28.52,437.6391,关键,33,1
85,1,物料-0085,气缸连接座,机加工件,件,680.34,33,关键,19,1
86,1,物料-0086,电机防护罩,钣金件,件,454.81,7,关键,25,1
87,1,物料-0087,交流接触器,电气元件,件,2468.36,23,重要,11,1
88,1,物料-0088,真空吸盘,气动液压,件,1123.75,12,重要,9,1
89,1,物料-0089,胀紧套,标准件,件,29.4,50,一般,13,1
90,1,物料-0090,磷青铜板,铜材,kg,81.07,176.4192,重要,10,1
91,1,物料-0091,工字钢,钢材,kg,9.95,315.1745,一般,16,1
92,1,物料-0092,铝合金支撑梁,铝材,kg,21.35,145.2328,重要,32,1
93,1,物料-0093,同步轮轴套,机加工件,件,415.18,29,重要,14,1
94,1,物料-0094,工位隔板,钣金件,件,507.28,27,关键,32,1
95,1,物料-0095,工业交换机,电气元件,件,1781.14,26,重要,5,1
96,1,物料-0096,气动夹爪,气动液压,件,724.61,32,重要,5,1
97,1,物料-0097,拖链,标准件,件,21.18,19,重要,35,1
98,1,物料-0098,黄铜管,铜材,kg,93.32,499.5845,关键,15,1
99,1,物料-0099,弹簧钢带,钢材,kg,4.59,307.8799,一般,28,1
100,1,物料-0100,铝合金连接板,铝材,kg,31.69,486.5222,关键,34,1
101,1,物料-0101,检测工装底板,机加工件,件,204.12,75,重要,15,1
102,1,物料-0102,拖链支撑板,钣金件,件,301.4,38,关键,6,1
103,1,物料-0103,温度控制器,电气元件,件,1971.65,34,一般,21,1
104,1,物料-0104,液压泵站,气动液压,件,1579.41,29,重要,14,1
105,1,物料-0105,油封,标准件,件,2.83,51,重要,23,1
106,1,物料-0106,紫铜箔,铜材,kg,72.65,22.2438,重要,30,1
107,1,物料-0107,模具钢板,钢材,kg,8.3,95.0169,关键,25,1
108,1,物料-0108,铝合金防护框,铝材,kg,30.02,283.6895,一般,24,1
109,1,物料-0109,旋转台支座,机加工件,件,459.08,29,一般,19,1
110,1,物料-0110,气路安装板,钣金件,件,645.85,70,重要,32,1
111,1,物料-0111,急停按钮,电气元件,件,2111.05,33,关键,31,1
112,1,物料-0112,高压软管,气动液压,件,1061.95,49,关键,30,1
113,1,物料-0113,卡簧,标准件,件,11.16,26,重要,8,1
114,1,物料-0114,铜合金套料,铜材,kg,104.36,52.1437,关键,32,1
115,1,物料-0115,精密光轴,钢材,kg,11.79,82.6563,一般,29,1
116,1,物料-0116,铝合金安装座,铝材,kg,21.74,76.9736,关键,18,1
117,1,物料-0117,电机过渡法兰,机加工件,件,306.41,68,重要,12,1
118,1,物料-0118,铭牌固定板,钣金件,件,193.03,43,关键,27,1
119,1,物料-0119,端子排组件,电气元件,件,2609.61,19,关键,19,1
120,1,物料-0120,快速排气阀,气动液压,件,1235.84,35,重要,25,1
