risk_event_id,company_id,risk_code,risk_type,rule_code,entity_type,entity_id,entity_code,risk_score,severity,status,detected_at,summary,potential_amount
31,1,风险-000031,订单交付,PRODUCTION_DELAY,sales_order,1735,销售-001735,20,中,待处理,2026-08-05T08:00:00+08:00,生产进度低于计划,519252.35
32,1,风险-000032,订单交付,MATERIAL_SHORTAGE,sales_order,1977,销售-001977,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,262331.46
33,1,风险-000033,订单交付,PURCHASE_LATE,sales_order,1956,销售-001956,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,701884.54
34,1,风险-000034,订单交付,PURCHASE_LATE,sales_order,1778,销售-001778,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,263724.62
35,1,风险-000035,订单交付,PRODUCTION_DELAY,sales_order,1848,销售-001848,20,中,待处理,2026-08-05T08:00:00+08:00,生产进度低于计划,159106.12
36,1,风险-000036,订单交付,PURCHASE_LATE,sales_order,1779,销售-001779,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,245693.81
37,1,风险-000037,订单交付,PURCHASE_LATE,sales_order,1916,销售-001916,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,788330.16
38,1,风险-000038,订单交付,PURCHASE_LATE,sales_order,1745,销售-001745,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,576162.62
39,1,风险-000039,订单交付,PURCHASE_LATE,sales_order,1911,销售-001911,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,861301.91
40,1,风险-000040,订单交付,PURCHASE_LATE,sales_order,1828,销售-001828,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,357912.35
41,1,风险-000041,订单交付,MATERIAL_SHORTAGE,sales_order,1910,销售-001910,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,861576.45
42,1,风险-000042,订单交付,PRODUCTION_DELAY,sales_order,1877,销售-001877,20,中,待处理,2026-08-05T08:00:00+08:00,生产进度低于计划,167717.67
43,1,风险-000043,订单交付,PRODUCTION_DELAY,sales_order,1754,销售-001754,20,中,待处理,2026-08-05T08:00:00+08:00,生产进度低于计划,846863.33
44,1,风险-000044,订单交付,MATERIAL_SHORTAGE,sales_order,1954,销售-001954,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,151706.27
45,1,风险-000045,订单交付,MATERIAL_SHORTAGE,sales_order,1940,销售-001940,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,243411.6
46,1,风险-000046,订单交付,MATERIAL_SHORTAGE,sales_order,1981,销售-001981,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,854504.95
47,1,风险-000047,订单交付,PURCHASE_LATE,sales_order,1948,销售-001948,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,383063.11
48,1,风险-000048,订单交付,MATERIAL_SHORTAGE,sales_order,1768,销售-001768,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,438754.2
49,1,风险-000049,订单交付,MATERIAL_SHORTAGE,sales_order,1889,销售-001889,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,180384.64
50,1,风险-000050,订单交付,PURCHASE_LATE,sales_order,1865,销售-001865,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,1682955.19
51,1,风险-000051,订单交付,MATERIAL_SHORTAGE,sales_order,1869,销售-001869,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,165912.78
52,1,风险-000052,订单交付,PURCHASE_LATE,sales_order,1854,销售-001854,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,771551.37
53,1,风险-000053,订单交付,MATERIAL_SHORTAGE,sales_order,1805,销售-001805,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,865044.02
54,1,风险-000054,订单交付,PURCHASE_LATE,sales_order,1861,销售-001861,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,179590.53
55,1,风险-000055,订单交付,MATERIAL_SHORTAGE,sales_order,1972,销售-001972,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,331980.08
56,1,风险-000056,订单交付,PURCHASE_LATE,sales_order,1749,销售-001749,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,894557.17
57,1,风险-000057,订单交付,MATERIAL_SHORTAGE,sales_order,1949,销售-001949,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,199929.98
58,1,风险-000058,订单交付,PURCHASE_LATE,sales_order,1898,销售-001898,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,1025312.59
59,1,风险-000059,订单交付,MATERIAL_SHORTAGE,sales_order,1820,销售-001820,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,195711.27
60,1,风险-000060,订单交付,PURCHASE_LATE,sales_order,1993,销售-001993,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,553272.45
61,1,风险-000061,订单交付,MATERIAL_SHORTAGE,sales_order,1874,销售-001874,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,181793.92
62,1,风险-000062,订单交付,PRODUCTION_DELAY,sales_order,1852,销售-001852,20,中,待处理,2026-08-05T08:00:00+08:00,生产进度低于计划,805933.34
63,1,风险-000063,订单交付,PURCHASE_LATE,sales_order,1894,销售-001894,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,929467.74
64,1,风险-000064,订单交付,MATERIAL_SHORTAGE,sales_order,1700,销售-001700,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,250980.56
65,1,风险-000065,订单交付,PRODUCTION_DELAY,sales_order,1872,销售-001872,20,中,待处理,2026-08-05T08:00:00+08:00,生产进度低于计划,1574966.57
66,1,风险-000066,订单交付,MATERIAL_SHORTAGE,sales_order,1918,销售-001918,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,258988.96
67,1,风险-000067,订单交付,PRODUCTION_DELAY,sales_order,1791,销售-001791,20,中,待处理,2026-08-05T08:00:00+08:00,生产进度低于计划,238646.67
68,1,风险-000068,订单交付,MATERIAL_SHORTAGE,sales_order,1830,销售-001830,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,887707.29
69,1,风险-000069,订单交付,PRODUCTION_DELAY,sales_order,1901,销售-001901,20,中,待处理,2026-08-05T08:00:00+08:00,生产进度低于计划,401781.04
70,1,风险-000070,订单交付,PURCHASE_LATE,sales_order,1841,销售-001841,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,1067164.58
71,1,风险-000071,订单交付,PURCHASE_LATE,sales_order,1812,销售-001812,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,666142.13
72,1,风险-000072,订单交付,PRODUCTION_DELAY,sales_order,1855,销售-001855,20,中,待处理,2026-08-05T08:00:00+08:00,生产进度低于计划,188515.42
73,1,风险-000073,订单交付,PURCHASE_LATE,sales_order,1960,销售-001960,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,760401.59
74,1,风险-000074,订单交付,PRODUCTION_DELAY,sales_order,1938,销售-001938,20,中,待处理,2026-08-05T08:00:00+08:00,生产进度低于计划,915670.38
75,1,风险-000075,订单交付,MATERIAL_SHORTAGE,sales_order,1847,销售-001847,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,546797.52
76,1,风险-000076,订单交付,PRODUCTION_DELAY,sales_order,1897,销售-001897,20,中,待处理,2026-08-05T08:00:00+08:00,生产进度低于计划,435300.4
77,1,风险-000077,订单交付,PRODUCTION_DELAY,sales_order,1942,销售-001942,20,中,待处理,2026-08-05T08:00:00+08:00,生产进度低于计划,1182948.27
78,1,风险-000078,订单交付,PURCHASE_LATE,sales_order,1863,销售-001863,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,735108.29
79,1,风险-000079,订单交付,PRODUCTION_DELAY,sales_order,1922,销售-001922,20,中,待处理,2026-08-05T08:00:00+08:00,生产进度低于计划,206550.72
80,1,风险-000080,订单交付,PRODUCTION_DELAY,sales_order,1955,销售-001955,20,中,待处理,2026-08-05T08:00:00+08:00,生产进度低于计划,203700.04
81,1,风险-000081,订单交付,PURCHASE_LATE,sales_order,1752,销售-001752,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,261083.15
82,1,风险-000082,订单交付,PRODUCTION_DELAY,sales_order,1926,销售-001926,20,中,待处理,2026-08-05T08:00:00+08:00,生产进度低于计划,321367.0
83,1,风险-000083,订单交付,MATERIAL_SHORTAGE,sales_order,1984,销售-001984,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,809078.91
84,1,风险-000084,订单交付,MATERIAL_SHORTAGE,sales_order,1882,销售-001882,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,309944.69
85,1,风险-000085,订单交付,QUALITY_REWORK,sales_order,1708,销售-001708,15,中,待处理,2026-08-05T08:00:00+08:00,质量返工影响计划,609754.59
86,1,风险-000086,订单交付,MATERIAL_SHORTAGE,sales_order,1697,销售-001697,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,1088006.25
87,1,风险-000087,订单交付,PRODUCTION_DELAY,sales_order,1969,销售-001969,20,中,待处理,2026-08-05T08:00:00+08:00,生产进度低于计划,718397.19
88,1,风险-000088,订单交付,MATERIAL_SHORTAGE,sales_order,1815,销售-001815,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,1120427.27
89,1,风险-000089,订单交付,QUALITY_REWORK,sales_order,1853,销售-001853,15,中,待处理,2026-08-05T08:00:00+08:00,质量返工影响计划,600868.02
90,1,风险-000090,订单交付,MATERIAL_SHORTAGE,sales_order,1933,销售-001933,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,492079.7
91,1,风险-000091,订单交付,PURCHASE_LATE,sales_order,1912,销售-001912,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,437902.79
92,1,风险-000092,订单交付,PURCHASE_LATE,sales_order,1883,销售-001883,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,285229.53
93,1,风险-000093,订单交付,PRODUCTION_DELAY,sales_order,1881,销售-001881,20,中,待处理,2026-08-05T08:00:00+08:00,生产进度低于计划,1394380.3
94,1,风险-000094,订单交付,MATERIAL_SHORTAGE,sales_order,1919,销售-001919,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,180838.88
95,1,风险-000095,订单交付,MATERIAL_SHORTAGE,sales_order,1978,销售-001978,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,658219.43
96,1,风险-000096,订单交付,PURCHASE_LATE,sales_order,1931,销售-001931,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,120249.49
97,1,风险-000097,订单交付,QUALITY_REWORK,sales_order,1701,销售-001701,15,中,待处理,2026-08-05T08:00:00+08:00,质量返工影响计划,293713.92
98,1,风险-000098,订单交付,PURCHASE_LATE,sales_order,1810,销售-001810,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,186722.05
99,1,风险-000099,订单交付,PURCHASE_LATE,sales_order,1849,销售-001849,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,724317.01
100,1,风险-000100,订单交付,MATERIAL_SHORTAGE,sales_order,1923,销售-001923,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,968507.78
101,1,风险-000101,订单交付,PURCHASE_LATE,sales_order,1806,销售-001806,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,923244.37
102,1,风险-000102,订单交付,PRODUCTION_DELAY,sales_order,1939,销售-001939,20,中,待处理,2026-08-05T08:00:00+08:00,生产进度低于计划,450826.69
103,1,风险-000103,订单交付,MATERIAL_SHORTAGE,sales_order,1921,销售-001921,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,812937.84
104,1,风险-000104,订单交付,MATERIAL_SHORTAGE,sales_order,1802,销售-001802,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,193792.8
105,1,风险-000105,订单交付,MATERIAL_SHORTAGE,sales_order,1756,销售-001756,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,1110196.56
106,1,风险-000106,订单交付,PURCHASE_LATE,sales_order,1818,销售-001818,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,539030.54
107,1,风险-000107,订单交付,MATERIAL_SHORTAGE,sales_order,1997,销售-001997,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,1144089.31
108,1,风险-000108,订单交付,MATERIAL_SHORTAGE,sales_order,1777,销售-001777,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,1109642.85
109,1,风险-000109,订单交付,MATERIAL_SHORTAGE,sales_order,1800,销售-001800,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,218604.99
110,1,风险-000110,订单交付,QUALITY_REWORK,sales_order,1996,销售-001996,15,中,待处理,2026-08-05T08:00:00+08:00,质量返工影响计划,426445.22
111,1,风险-000111,订单交付,MATERIAL_SHORTAGE,sales_order,1866,销售-001866,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,672056.64
112,1,风险-000112,订单交付,MATERIAL_SHORTAGE,sales_order,1936,销售-001936,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,216927.1
113,1,风险-000113,订单交付,PURCHASE_LATE,sales_order,1832,销售-001832,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,179349.67
114,1,风险-000114,订单交付,MATERIAL_SHORTAGE,sales_order,1968,销售-001968,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,973789.54
115,1,风险-000115,订单交付,PURCHASE_LATE,sales_order,1947,销售-001947,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,815192.65
116,1,风险-000116,订单交付,PURCHASE_LATE,sales_order,1879,销售-001879,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,1144312.74
117,1,风险-000117,订单交付,MATERIAL_SHORTAGE,sales_order,1875,销售-001875,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,512296.0
118,1,风险-000118,订单交付,MATERIAL_SHORTAGE,sales_order,1995,销售-001995,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,828846.13
119,1,风险-000119,订单交付,MATERIAL_SHORTAGE,sales_order,1721,销售-001721,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,1480359.21
120,1,风险-000120,订单交付,PURCHASE_LATE,sales_order,1691,销售-001691,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,183723.65
121,1,风险-000121,订单交付,MATERIAL_SHORTAGE,sales_order,1991,销售-001991,40,高,待处理,2026-08-05T08:00:00+08:00,存在关键物料缺口,1853722.38
122,1,风险-000122,订单交付,PURCHASE_LATE,sales_order,1774,销售-001774,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,770838.5
123,1,风险-000123,订单交付,PURCHASE_LATE,sales_order,1858,销售-001858,25,中,待处理,2026-08-05T08:00:00+08:00,关联采购订单预计迟到,221463.73
