message_id,task_id,recipient_employee_id,channel,message_title,message_body,sent_at,status
26,26,24,站内,高风险：销售-001982,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
27,27,32,站内,中风险：销售-001856,生产进度低于计划,2026-08-05T08:05:00+08:00,已发送
28,28,32,站内,中风险：销售-001899,生产进度低于计划,2026-08-05T08:05:00+08:00,已发送
29,29,24,站内,高风险：销售-001730,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
30,30,32,站内,中风险：销售-001900,生产进度低于计划,2026-08-05T08:05:00+08:00,已发送
31,31,32,站内,中风险：销售-001735,生产进度低于计划,2026-08-05T08:05:00+08:00,已发送
32,32,24,站内,高风险：销售-001977,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
33,33,24,站内,中风险：销售-001956,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
34,34,24,站内,中风险：销售-001778,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
35,35,32,站内,中风险：销售-001848,生产进度低于计划,2026-08-05T08:05:00+08:00,已发送
36,36,24,站内,中风险：销售-001779,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
37,37,24,站内,中风险：销售-001916,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
38,38,24,站内,中风险：销售-001745,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
39,39,24,站内,中风险：销售-001911,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
40,40,24,站内,中风险：销售-001828,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
41,41,24,站内,高风险：销售-001910,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
42,42,32,站内,中风险：销售-001877,生产进度低于计划,2026-08-05T08:05:00+08:00,已发送
43,43,32,站内,中风险：销售-001754,生产进度低于计划,2026-08-05T08:05:00+08:00,已发送
44,44,24,站内,高风险：销售-001954,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
45,45,24,站内,高风险：销售-001940,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
46,46,24,站内,高风险：销售-001981,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
47,47,24,站内,中风险：销售-001948,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
48,48,24,站内,高风险：销售-001768,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
49,49,24,站内,高风险：销售-001889,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
50,50,24,站内,中风险：销售-001865,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
51,51,24,站内,高风险：销售-001869,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
52,52,24,站内,中风险：销售-001854,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
53,53,24,站内,高风险：销售-001805,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
54,54,24,站内,中风险：销售-001861,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
55,55,24,站内,高风险：销售-001972,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
56,56,24,站内,中风险：销售-001749,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
57,57,24,站内,高风险：销售-001949,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
58,58,24,站内,中风险：销售-001898,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
59,59,24,站内,高风险：销售-001820,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
60,60,24,站内,中风险：销售-001993,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
61,61,24,站内,高风险：销售-001874,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
62,62,32,站内,中风险：销售-001852,生产进度低于计划,2026-08-05T08:05:00+08:00,已发送
63,63,24,站内,中风险：销售-001894,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
64,64,24,站内,高风险：销售-001700,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
65,65,32,站内,中风险：销售-001872,生产进度低于计划,2026-08-05T08:05:00+08:00,已发送
66,66,24,站内,高风险：销售-001918,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
67,67,32,站内,中风险：销售-001791,生产进度低于计划,2026-08-05T08:05:00+08:00,已发送
68,68,24,站内,高风险：销售-001830,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
69,69,32,站内,中风险：销售-001901,生产进度低于计划,2026-08-05T08:05:00+08:00,已发送
70,70,24,站内,中风险：销售-001841,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
71,71,24,站内,中风险：销售-001812,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
72,72,32,站内,中风险：销售-001855,生产进度低于计划,2026-08-05T08:05:00+08:00,已发送
73,73,24,站内,中风险：销售-001960,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
74,74,32,站内,中风险：销售-001938,生产进度低于计划,2026-08-05T08:05:00+08:00,已发送
75,75,24,站内,高风险：销售-001847,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
76,76,32,站内,中风险：销售-001897,生产进度低于计划,2026-08-05T08:05:00+08:00,已发送
77,77,32,站内,中风险：销售-001942,生产进度低于计划,2026-08-05T08:05:00+08:00,已发送
78,78,24,站内,中风险：销售-001863,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
79,79,32,站内,中风险：销售-001922,生产进度低于计划,2026-08-05T08:05:00+08:00,已发送
80,80,32,站内,中风险：销售-001955,生产进度低于计划,2026-08-05T08:05:00+08:00,已发送
81,81,24,站内,中风险：销售-001752,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
82,82,32,站内,中风险：销售-001926,生产进度低于计划,2026-08-05T08:05:00+08:00,已发送
83,83,24,站内,高风险：销售-001984,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
84,84,24,站内,高风险：销售-001882,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
85,85,32,站内,中风险：销售-001708,质量返工影响计划,2026-08-05T08:05:00+08:00,已发送
86,86,24,站内,高风险：销售-001697,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
87,87,32,站内,中风险：销售-001969,生产进度低于计划,2026-08-05T08:05:00+08:00,已发送
88,88,24,站内,高风险：销售-001815,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
89,89,32,站内,中风险：销售-001853,质量返工影响计划,2026-08-05T08:05:00+08:00,已发送
90,90,24,站内,高风险：销售-001933,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
91,91,24,站内,中风险：销售-001912,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
92,92,24,站内,中风险：销售-001883,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
93,93,32,站内,中风险：销售-001881,生产进度低于计划,2026-08-05T08:05:00+08:00,已发送
94,94,24,站内,高风险：销售-001919,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
95,95,24,站内,高风险：销售-001978,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
96,96,24,站内,中风险：销售-001931,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
97,97,32,站内,中风险：销售-001701,质量返工影响计划,2026-08-05T08:05:00+08:00,已发送
98,98,24,站内,中风险：销售-001810,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
99,99,24,站内,中风险：销售-001849,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
100,100,24,站内,高风险：销售-001923,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
101,101,24,站内,中风险：销售-001806,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
102,102,32,站内,中风险：销售-001939,生产进度低于计划,2026-08-05T08:05:00+08:00,已发送
103,103,24,站内,高风险：销售-001921,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
104,104,24,站内,高风险：销售-001802,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
105,105,24,站内,高风险：销售-001756,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
106,106,24,站内,中风险：销售-001818,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
107,107,24,站内,高风险：销售-001997,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
108,108,24,站内,高风险：销售-001777,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
109,109,24,站内,高风险：销售-001800,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
110,110,32,站内,中风险：销售-001996,质量返工影响计划,2026-08-05T08:05:00+08:00,已发送
111,111,24,站内,高风险：销售-001866,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
112,112,24,站内,高风险：销售-001936,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
113,113,24,站内,中风险：销售-001832,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
114,114,24,站内,高风险：销售-001968,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
115,115,24,站内,中风险：销售-001947,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
116,116,24,站内,中风险：销售-001879,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
117,117,24,站内,高风险：销售-001875,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
118,118,24,站内,高风险：销售-001995,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
119,119,24,站内,高风险：销售-001721,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
120,120,24,站内,中风险：销售-001691,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
121,121,24,站内,高风险：销售-001991,存在关键物料缺口,2026-08-05T08:05:00+08:00,已发送
122,122,24,站内,中风险：销售-001774,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
123,123,24,站内,中风险：销售-001858,关联采购订单预计迟到,2026-08-05T08:05:00+08:00,已发送
